unit,sex,icd10,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 
PC,F,C50,SI	77.20 	74.30 	76.80 	74.30 	70.50 	76.80 	81.40 	78.50 	82.60 	69.80 	72.80 	85.10 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,F,C50,SK	: 	27.23 d	30.97 d	30.44 d	30.70 d	30.79 d	30.41 d	30.05 d	30.54 d	31.64 d	31.06 d	32.66 d	34.87 d	34.38 d	32.36 d	29.14 d	: 	: 	: 	: 	: 	: 
PC,F,C50,TR	: 	26.93 d	35.98 d	34.80 d	33.25 d	33.17 d	30.95 d	30.82 d	30.17 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,F,C53,BE	: 	45.70 	49.50 	50.80 	53.20 	53.10 	50.60 	52.90 	59.20 	59.40 	60.70 	62.90 	60.00 	58.70 	60.00 	61.20 	61.10 	60.70 	59.70 	59.30 	59.50 	58.60 
PC,F,C53,BG	: 	: 	: 	: 	13.35 d	34.40 bd	8.60 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,F,C53,CZ	: 	75.00 	75.40 	75.30 	75.30 	75.40 	75.30 	74.70 	73.80 	72.60 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,F,C53,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	55.90 	: 	: 
PC,F,C53,DK	: 	: 	61.00 d	62.30 d	62.00 d	63.50 d	64.80 d	66.00 d	66.20 d	64.20 d	65.60 d	64.90 d	66.30 d	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,F,C53,EE	: 	42.20 d	46.10 d	45.30 d	50.70 d	45.90 d	45.90 d	50.00 d	49.20 d	50.00 d	53.00 d	44.00 d	52.00 d	48.00 d	32.00 d	: 	: 	: 	: 	: 	: 	: 
PC,F,C53,FI	: 	: 	71.30 d	70.90 d	70.60 d	70.50 d	69.50 d	70.10 d	70.90 d	67.40 d	67.90 d	66.70 d	69.80 d	69.00 d	69.80 d	70.70 d	71.40 d	71.60 d	72.20 d	72.00 d	70.30 d	: 
PC,F,C53,FR	: 	58.80 d	58.20 d	59.40 d	59.40 d	59.10 d	59.20 d	58.80 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,F,C53,HU	: 	27.54 	30.23 	32.18 	34.20 	35.06 	35.30 	35.63 	36.60 	37.53 	38.33 	38.68 	39.24 	42.45 	45.34 	47.16 	: 	: 	: 	: 	: 	: 
PC,F,C53,IE	: 	71.70 dp	79.20 d	79.70 d	80.20 d	79.70 d	78.70 d	77.00 d	74.70 bd	67.90 bd	60.90 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,F,C53,IS	65.00 d	66.00 d	67.00 d	66.00 d	66.00 d	68.00 d	71.00 d	73.00 bd	64.00 	64.00 	61.00 	65.00 	69.00 	70.00 	71.00 	71.00 	72.00 	73.00 	74.00 	74.00 	74.00 	74.00 
PC,F,C53,IT	: 	34.20 	38.50 	39.60 	40.50 	40.90 	39.80 	40.50 	41.50 	41.00 	41.20 	40.00 	39.00 	38.00 	39.00 	38.50 	36.70 	37.70 	: 	: 	: 	: 
PC,F,C53,LI	: 	: 	6.80 	17.80 	27.30 	31.20 	27.23 	30.54 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
