unit,source,icd10,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 
PC,PRG,C53,IE	: 	71.70 dp	79.20 d	79.70 d	80.20 d	79.70 d	78.70 d	77.00 d	74.70 bd	67.90 bd	60.90 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,PRG,C53,IS	: 	66.00 d	67.00 d	66.00 d	66.00 d	68.00 d	71.00 d	73.00 bd	64.00 	64.00 	61.00 	65.00 	69.00 	70.00 	71.00 	71.00 	72.00 	73.00 	74.00 	74.00 	74.00 	74.00 
PC,PRG,C53,IT	: 	34.20 	38.50 	39.60 	40.50 	40.90 	39.80 	40.50 	41.50 	41.00 	41.20 	40.00 	39.00 	38.00 	39.00 	38.50 	36.70 	37.70 	: 	: 	: 	: 
PC,PRG,C53,LI	: 	: 	6.80 	17.80 	27.30 	31.20 	27.23 	30.54 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,PRG,C53,LT	53.50 dp	52.10 d	52.50 d	51.00 d	50.90 d	50.10 d	47.70 d	46.70 d	45.60 d	43.80 d	42.70 d	43.20 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,PRG,C53,LU	: 	61.03 p	69.83 	74.31 	76.55 	75.96 	75.40 b	67.75 	50.80 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,PRG,C53,LV	35.10 	33.80 	39.70 	43.80 	39.00 	25.20 	25.00 	27.80 	27.40 	26.70 	34.50 	15.30 	14.90 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,PRG,C53,ME	: 	8.04 	29.30 	32.50 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,PRG,C53,MK	: 	5.63 d	9.90 d	: 	: 	5.30 d	14.60 d	17.40 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,PRG,C53,MT	23.50 d	22.90 d	22.10 d	27.50 d	24.00 d	18.00 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
